ItemRelationshipID,First_Item_ID,First_Item_Name,Second_Item_ID,Second_Item_Name,Relation_ID,Relation,Erudite,InverseErudite,IsPalindromic,IsTransitiveClosureSafe
358,465,"Alström syndrome",2179,Cataracts,2,Cause-effect,"may cause","may be caused by",False,False
122,158,"Acute disseminated encephalomyelitis",2197,"Demyelination, central nervous system",2,Cause-effect,"may cause","may be caused by",False,False
18691,292,Adrenoleucodystrophy,2197,"Demyelination, central nervous system",2,Cause-effect,"may cause","may be caused by",False,False
59601,325,Ethanol,2198,"Central pontine myelinosis",4,"Risk factor","is a risk factor for","has risk factors",False,False
10,17,Abetalipoproteinaemia,2218,"Cerebellar syndrome",2,Cause-effect,"may cause","may be caused by",False,False
73,100,"Acoustic neuroma",2218,"Cerebellar syndrome",2,Cause-effect,"may cause","may be caused by",False,False
250,325,Ethanol,2218,"Cerebellar syndrome",2,Cause-effect,"may cause","may be caused by",False,False
1739,171,"Acute intermittent porphyria",2405,"Chloral hydrate",10,Contraindication,"may contraindicate","may be contraindicated with",False,False
1750,171,"Acute intermittent porphyria",2410,Chloramphenicol,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
1813,171,"Acute intermittent porphyria",2486,Chlorpropamide,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
37861,80,Achondroplasia,2592,"Congenital anomaly of cartilage",2,Cause-effect,"may cause","may be caused by",False,False
251,325,Ethanol,2704,"Chylomicron levels raised (plasma)",2,Cause-effect,"may cause","may be caused by",False,False
252,325,Ethanol,2729,"Cirrhosis of liver",2,Cause-effect,"may cause","may be caused by",False,False
333,434,"Alpha-1-antitrypsin deficiency",2729,"Cirrhosis of liver",2,Cause-effect,"may cause","may be caused by",False,False
46044,465,"Alström syndrome",2729,"Cirrhosis of liver",2,Cause-effect,"may cause","may be caused by",False,False
52,72,"Esophageal achalasia",2847,"Digital clubbing",2,Cause-effect,"may cause","may be caused by",False,False
339,442,"Alpha heavy chain disease",2847,"Digital clubbing",2,Cause-effect,"may cause","may be caused by",False,False
74,100,"Acoustic neuroma",2858,"10th cranial nerve disorder",2,Cause-effect,"may cause","may be caused by",False,False
88,114,"Growth hormone secreting pituitary adenoma",2860,"Optic nerve disorder",2,Cause-effect,"may cause","may be caused by",False,False
89,114,"Growth hormone secreting pituitary adenoma",2861,"3rd cranial nerve disorder",2,Cause-effect,"may cause","may be caused by",False,False
75,100,"Acoustic neuroma",2867,"5th cranial nerve disorder",2,Cause-effect,"may cause","may be caused by",False,False
76,100,"Acoustic neuroma",2869,"7th cranial nerve disorder",2,Cause-effect,"may cause","may be caused by",False,False
77,100,"Acoustic neuroma",2874,"Sensorineural hearing loss",2,Cause-effect,"may cause","may be caused by",False,False
355,454,"Alport syndrome",2874,"Sensorineural hearing loss",2,Cause-effect,"may cause","may be caused by",False,False
361,465,"Alström syndrome",2874,"Sensorineural hearing loss",2,Cause-effect,"may cause","may be caused by",False,False
30590,114,"Growth hormone secreting pituitary adenoma",2975,"Colorectal cancer",4,"Risk factor","is a risk factor for","has risk factors",False,False
61,83,Achromatopsia,2999,"Colour vision impairment",2,Cause-effect,"may cause","may be caused by",False,False
2202,171,"Acute intermittent porphyria",3000,"Combined oral contraceptive pill",10,Contraindication,"may contraindicate","may be contraindicated with",False,False
184,243,Adenoiditis,3043,"Conductive hearing loss",2,Cause-effect,"may cause","may be caused by",False,False
52479,325,Ethanol,3066,"Dilated cardiomyopathy",2,Cause-effect,"may cause","may be caused by",False,False
46039,465,"Alström syndrome",3066,"Dilated cardiomyopathy",2,Cause-effect,"may cause","may be caused by",False,False
70,96,Rosacea,3067,Conjunctivitis,2,Cause-effect,"may cause","may be caused by",False,False
23712,266,Adenovirus,3067,Conjunctivitis,2,Cause-effect,"may cause","may be caused by",False,False
214,279,"Adrenal cortex tumours",3073,"Conn syndrome",2,Cause-effect,"may cause","may be caused by",False,False
131,171,"Acute intermittent porphyria",3080,Constipation,2,Cause-effect,"may cause","may be caused by",False,False
374,486,"Aluminium hydroxide",3080,Constipation,2,Cause-effect,"may cause","may be caused by",False,False
377,493,Amantadine,3080,Constipation,2,Cause-effect,"may cause","may be caused by",False,False
78,100,"Acoustic neuroma",3233,"CSF protein levels raised",2,Cause-effect,"may cause","may be caused by",False,False
18689,292,Adrenoleucodystrophy,3233,"CSF protein levels raised",2,Cause-effect,"may cause","may be caused by",False,False
253,325,Ethanol,3233,"CSF protein levels raised",2,Cause-effect,"may cause","may be caused by",False,False
2517,171,"Acute intermittent porphyria",3436,Danazol,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
2533,171,"Acute intermittent porphyria",3460,Dapsone,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
10755,295,"Adverse drug reaction",3487,"Debrisoquine metabolism deficiency",26,"See also","see also","see also",True,False
10427,154,"Activated protein C resistance",3498,"Deep vein thrombosis",4,"Risk factor","is a risk factor for","has risk factors",False,False
2637,171,"Acute intermittent porphyria",3620,Dextromethorphan,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
10459,465,"Alström syndrome",3661,"Diabetes mellitus type 2",4,"Risk factor","is a risk factor for","has risk factors",False,False
11,17,Abetalipoproteinaemia,3742,Diarrhoea,2,Cause-effect,"may cause","may be caused by",False,False
45,62,Acarbose,3742,Diarrhoea,2,Cause-effect,"may cause","may be caused by",False,False
170,222,"Autoimmune adrenalitis",3742,Diarrhoea,2,Cause-effect,"may cause","may be caused by",False,False
202,266,Adenovirus,3742,Diarrhoea,2,Cause-effect,"may cause","may be caused by",False,False
254,325,Ethanol,3742,Diarrhoea,2,Cause-effect,"may cause","may be caused by",False,False
31,40,"Placental abruption",3765,"Disseminated intravascular coagulation",2,Cause-effect,"may cause","may be caused by",False,False
160,203,"Acute myeloid leukemia",3765,"Disseminated intravascular coagulation",2,Cause-effect,"may cause","may be caused by",False,False
43505,507,Amiloride,3869,Diuretics,16,"Drug family","belongs to the drug family of","is the drug family of",False,False
191,250,Adenomyosis,4017,Dysmenorrhoea,2,Cause-effect,"may cause","may be caused by",False,False
334,434,"Alpha-1-antitrypsin deficiency",4190,"Emphysema, pulmonary",2,Cause-effect,"may cause","may be caused by",False,False
26788,250,Adenomyosis,4269,Endometriosis,6,Association,"is associated with","is associated with",True,False
43132,195,"Acute lymphoblastic leukemia",4328,Eosinophilia,2,Cause-effect,"may cause","may be caused by",False,False
321,420,Allopurinol,4328,Eosinophilia,2,Cause-effect,"may cause","may be caused by",False,False
3207,171,"Acute intermittent porphyria",4420,Ergotamine,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
49340,64,Acetazolamide,4450,"Erythema multiforme",2,Cause-effect,"may cause","may be caused by",False,False
51380,420,Allopurinol,4450,"Erythema multiforme",2,Cause-effect,"may cause","may be caused by",False,False
3230,171,"Acute intermittent porphyria",4478,"Erythromycin estolate",10,Contraindication,"may contraindicate","may be contraindicated with",False,False
3285,171,"Acute intermittent porphyria",4540,Ethinylestradiol,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
47346,171,"Acute intermittent porphyria",4568,Ethosuximide,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
10881,295,"Adverse drug reaction",4610,Excipients,26,"See also","see also","see also",True,False
22,29,Miscarriage,4786,"Female infertility",2,Cause-effect,"may cause","may be caused by",False,False
171,222,"Autoimmune adrenalitis",4786,"Female infertility",2,Cause-effect,"may cause","may be caused by",False,False
25213,273,"Peritoneal adhesions",4786,"Female infertility",2,Cause-effect,"may cause","may be caused by",False,False
212,279,"Adrenal cortex tumours",4786,"Female infertility",2,Cause-effect,"may cause","may be caused by",False,False
255,325,Ethanol,4786,"Female infertility",2,Cause-effect,"may cause","may be caused by",False,False
24285,218,"Acute phase reaction",4798,Hyperfibrinogenemia,2,Cause-effect,"may cause","may be caused by",False,False
33422,29,Miscarriage,4834,"First trimester PV bleed",2,Cause-effect,"may cause","may be caused by",False,False
32,40,"Placental abruption",4882,"Fetal distress",2,Cause-effect,"may cause","may be caused by",False,False
10915,295,"Adverse drug reaction",5037,"G6PDH deficiency",26,"See also","see also","see also",True,False
24800,325,Ethanol,5083,"Gamma-glutamyl transferase levels raised (plasma or serum)",2,Cause-effect,"may cause","may be caused by",False,False
349,454,"Alport syndrome",5245,Glomerulonephritis,2,Cause-effect,"may cause","may be caused by",False,False
3803,171,"Acute intermittent porphyria",5270,Glutethimide,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
90,114,"Growth hormone secreting pituitary adenoma",5332,Goitre,2,Cause-effect,"may cause","may be caused by",False,False
51956,512,Aminoglutethimide,5332,Goitre,2,Cause-effect,"may cause","may be caused by",False,False
256,325,Ethanol,5375,"Uric acid levels raised (plasma or serum)",2,Cause-effect,"may cause","may be caused by",False,False
322,420,Allopurinol,5375,"Uric acid levels raised (plasma or serum)",2,Cause-effect,"may cause","may be caused by",False,False
33780,145,Actinomycosis,5402,"Gram positive bacilli / rods",2,Cause-effect,"may cause","may be caused by",False,False
3922,171,"Acute intermittent porphyria",5435,Griseofulvin,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
30396,114,"Growth hormone secreting pituitary adenoma",5444,"Growth hormone",26,"See also","see also","see also",True,False
23768,325,Ethanol,5490,Haemochromatosis,4,"Risk factor","is a risk factor for","has risk factors",False,False
81277,17,Abetalipoproteinaemia,5534,"Haemolytic anaemia",2,Cause-effect,"may cause","may be caused by",False,False
10442,222,"Autoimmune adrenalitis",5649,"Hashimoto thyroiditis",6,Association,"is associated with","is associated with",True,False
257,325,Ethanol,5670,"High density lipoprotein levels raised (plasma)",2,Cause-effect,"may cause","may be caused by",False,False
258,325,Ethanol,5728,"Hepatic failure",2,Cause-effect,"may cause","may be caused by",False,False
335,434,"Alpha-1-antitrypsin deficiency",5728,"Hepatic failure",2,Cause-effect,"may cause","may be caused by",False,False
10429,158,"Acute disseminated encephalomyelitis",5868,"Varicella-zoster virus",6,Association,"is associated with","is associated with",True,False
213,279,"Adrenal cortex tumours",6160,"Cushing syndrome",2,Cause-effect,"may cause","may be caused by",False,False
220,288,"Adrenocorticotrophic hormone",6160,"Cushing syndrome",2,Cause-effect,"may cause","may be caused by",False,False
303,394,Aldosterone,6187,Hyperaldosteronism,2,Cause-effect,"may cause","may be caused by",False,False
91,114,"Growth hormone secreting pituitary adenoma",6196,Hypercalcaemia,2,Cause-effect,"may cause","may be caused by",False,False
92,114,"Growth hormone secreting pituitary adenoma",6220,Hypercalciuria,2,Cause-effect,"may cause","may be caused by",False,False
46043,465,"Alström syndrome",6226,Hypercholesterolaemia,2,Cause-effect,"may cause","may be caused by",False,False
93,114,"Growth hormone secreting pituitary adenoma",6234,Hyperglycaemia,2,Cause-effect,"may cause","may be caused by",False,False
94,114,"Growth hormone secreting pituitary adenoma",6239,Hyperhidrosis,2,Cause-effect,"may cause","may be caused by",False,False
66,87,Acidosis,6242,Hyperkalaemia,2,Cause-effect,"may cause","may be caused by",False,False
172,222,"Autoimmune adrenalitis",6242,Hyperkalaemia,2,Cause-effect,"may cause","may be caused by",False,False
384,507,Amiloride,6242,Hyperkalaemia,2,Cause-effect,"may cause","may be caused by",False,False
95,114,"Growth hormone secreting pituitary adenoma",6255,Hyperlipidaemia,2,Cause-effect,"may cause","may be caused by",False,False
173,222,"Autoimmune adrenalitis",6259,Hypermagnesaemia,2,Cause-effect,"may cause","may be caused by",False,False
18143,279,"Adrenal cortex tumours",6270,"Hyperoestrogenic states",2,Cause-effect,"may cause","may be caused by",False,False
96,114,"Growth hormone secreting pituitary adenoma",6330,"Hypertension, systemic",2,Cause-effect,"may cause","may be caused by",False,False
132,171,"Acute intermittent porphyria",6330,"Hypertension, systemic",2,Cause-effect,"may cause","may be caused by",False,False
259,325,Ethanol,6330,"Hypertension, systemic",2,Cause-effect,"may cause","may be caused by",False,False
46042,465,"Alström syndrome",6372,Hypertriglyceridaemia,2,Cause-effect,"may cause","may be caused by",False,False
3,4,"3-beta hydroxylase deficiency",6397,"Adrenal cortex insufficiency",2,Cause-effect,"may cause","may be caused by",False,False
174,222,"Autoimmune adrenalitis",6397,"Adrenal cortex insufficiency",2,Cause-effect,"may cause","may be caused by",False,False
18690,292,Adrenoleucodystrophy,6397,"Adrenal cortex insufficiency",2,Cause-effect,"may cause","may be caused by",False,False
388,512,Aminoglutethimide,6397,"Adrenal cortex insufficiency",2,Cause-effect,"may cause","may be caused by",False,False
46281,398,Alendronate,6412,Hypocalcaemia,2,Cause-effect,"may cause","may be caused by",False,False
198,260,"Adenosine deaminase deficiency",6426,Hypogammaglobulinaemia,2,Cause-effect,"may cause","may be caused by",False,False
175,222,"Autoimmune adrenalitis",6431,Hypoglycaemia,2,Cause-effect,"may cause","may be caused by",False,False
260,325,Ethanol,6431,Hypoglycaemia,2,Cause-effect,"may cause","may be caused by",False,False
261,325,Ethanol,6443,"Hypogonadic hypogonadism",2,Cause-effect,"may cause","may be caused by",False,False
46041,465,"Alström syndrome",6443,"Hypogonadic hypogonadism",2,Cause-effect,"may cause","may be caused by",False,False
97,114,"Growth hormone secreting pituitary adenoma",6444,"Hypogonadotrophic hypogonadism",2,Cause-effect,"may cause","may be caused by",False,False
161,203,"Acute myeloid leukemia",6445,Hypokalaemia,2,Cause-effect,"may cause","may be caused by",False,False
309,402,"Alkalosis, metabolic",6445,Hypokalaemia,2,Cause-effect,"may cause","may be caused by",False,False
262,325,Ethanol,6469,Hypomagnesemia,2,Cause-effect,"may cause","may be caused by",False,False
24756,64,Acetazolamide,6503,Hypophosphataemia,2,Cause-effect,"may cause","may be caused by",False,False
263,325,Ethanol,6503,Hypophosphataemia,2,Cause-effect,"may cause","may be caused by",False,False
310,402,"Alkalosis, metabolic",6503,Hypophosphataemia,2,Cause-effect,"may cause","may be caused by",False,False
311,406,"Respiratory alkalosis",6503,Hypophosphataemia,2,Cause-effect,"may cause","may be caused by",False,False
375,486,"Aluminium hydroxide",6503,Hypophosphataemia,2,Cause-effect,"may cause","may be caused by",False,False
176,222,"Autoimmune adrenalitis",6539,Hypotension,2,Cause-effect,"may cause","may be caused by",False,False
51958,512,Aminoglutethimide,6539,Hypotension,2,Cause-effect,"may cause","may be caused by",False,False
264,325,Ethanol,6542,Hypothermia,2,Cause-effect,"may cause","may be caused by",False,False
46038,465,"Alström syndrome",6558,Hypothyroidism,2,Cause-effect,"may cause","may be caused by",False,False
51957,512,Aminoglutethimide,6558,Hypothyroidism,2,Cause-effect,"may cause","may be caused by",False,False
133,171,"Acute intermittent porphyria",6706,"Paralytic Ileus",2,Cause-effect,"may cause","may be caused by",False,False
177,222,"Autoimmune adrenalitis",6784,"Ineffective erythropoiesis",2,Cause-effect,"may cause","may be caused by",False,False
192,250,Adenomyosis,6847,"Intermenstrual PV bleed",2,Cause-effect,"may cause","may be caused by",False,False
350,454,"Alport syndrome",6854,"Interstitial nephritis",2,Cause-effect,"may cause","may be caused by",False,False
20126,145,Actinomycosis,6880,"Intracranial abscess / granuloma",2,Cause-effect,"may cause","may be caused by",False,False
33,40,"Placental abruption",6890,"Intrauterine death",2,Cause-effect,"may cause","may be caused by",False,False
265,325,Ethanol,6890,"Intrauterine death",2,Cause-effect,"may cause","may be caused by",False,False
25,29,Miscarriage,6890,"Intrauterine death",3,"Cause-effect child-parent (subtype)","is a subtype of","has subtype(s)",False,True
25257,325,Ethanol,6895,"Intrauterine growth retardation",2,Cause-effect,"may cause","may be caused by",False,False
46302,171,"Acute intermittent porphyria",6974,Isoniazid,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
42,55,Acanthamoeba,7150,Keratitis,2,Cause-effect,"may cause","may be caused by",False,False
203,266,Adenovirus,7150,Keratitis,2,Cause-effect,"may cause","may be caused by",False,False
351,454,"Alport syndrome",7158,Keratoconus,2,Cause-effect,"may cause","may be caused by",False,False
12,17,Abetalipoproteinaemia,7305,"Low density lipoprotein levels low (serum or plasma)",2,Cause-effect,"may cause","may be caused by",False,False
24419,218,"Acute phase reaction",7305,"Low density lipoprotein levels low (serum or plasma)",2,Cause-effect,"may cause","may be caused by",False,False
352,454,"Alport syndrome",7386,"Lens pathology",2,Cause-effect,"may cause","may be caused by",False,False
344,448,"Alpha thalassemia trait",7395,Leptocytosis,2,Cause-effect,"may cause","may be caused by",False,False
24865,203,"Acute myeloid leukemia",7430,"Leucoerythroblastic anaemia",2,Cause-effect,"may cause","may be caused by",False,False
378,493,Amantadine,7546,"Livedo reticularis",2,Cause-effect,"may cause","may be caused by",False,False
10432,171,"Acute intermittent porphyria",7547,"Liver cancer, primary",4,"Risk factor","is a risk factor for","has risk factors",False,False
10448,309,Aflatoxins,7547,"Liver cancer, primary",4,"Risk factor","is a risk factor for","has risk factors",False,False
10451,325,Ethanol,7547,"Liver cancer, primary",4,"Risk factor","is a risk factor for","has risk factors",False,False
10457,434,"Alpha-1-antitrypsin deficiency",7547,"Liver cancer, primary",4,"Risk factor","is a risk factor for","has risk factors",False,False
115,145,Actinomycosis,7607,"Lung abscess",2,Cause-effect,"may cause","may be caused by",False,False
199,260,"Adenosine deaminase deficiency",7677,Lymphocytopenia,2,Cause-effect,"may cause","may be caused by",False,False
153,195,"Acute lymphoblastic leukemia",7678,Lymphocytosis,2,Cause-effect,"may cause","may be caused by",False,False
267,325,Ethanol,7688,"Macrocytosis (erythrocyte)",2,Cause-effect,"may cause","may be caused by",False,False
98,114,"Growth hormone secreting pituitary adenoma",7689,Macroglossia,2,Cause-effect,"may cause","may be caused by",False,False
204,266,Adenovirus,7691,"Maculopapular rash",2,Cause-effect,"may cause","may be caused by",False,False
13,17,Abetalipoproteinaemia,7698,"Malabsorption syndrome",2,Cause-effect,"may cause","may be caused by",False,False
340,442,"Alpha heavy chain disease",7698,"Malabsorption syndrome",2,Cause-effect,"may cause","may be caused by",False,False
6,11,"5-alpha reductase deficiency",7772,"Male infertility",2,Cause-effect,"may cause","may be caused by",False,False
268,325,Ethanol,7772,"Male infertility",2,Cause-effect,"may cause","may be caused by",False,False
10430,158,"Acute disseminated encephalomyelitis",7890,Measles,6,Association,"is associated with","is associated with",True,False
5826,171,"Acute intermittent porphyria",8052,Mercaptopurine,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
23620,266,Adenovirus,8068,"Mesenteric adenitis",2,Cause-effect,"may cause","may be caused by",False,False
35108,325,Ethanol,8116,Methotrexate,12,Interaction,"interacts with","interacts with",True,False
5903,171,"Acute intermittent porphyria",8131,Methyldopa,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
5929,171,"Acute intermittent porphyria",8174,Metronidazole,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
345,448,"Alpha thalassemia trait",8192,"Microcytosis (erythrocyte)",2,Cause-effect,"may cause","may be caused by",False,False
365,475,"Aluminium (dialysis related) toxicity",8192,"Microcytosis (erythrocyte)",2,Cause-effect,"may cause","may be caused by",False,False
134,171,"Acute intermittent porphyria",8374,"Motor neuropathy, peripheral",2,Cause-effect,"may cause","may be caused by",False,False
24928,145,Actinomycosis,8472,Mycetoma,2,Cause-effect,"may cause","may be caused by",False,False
31586,325,Ethanol,8723,Myopathy,2,Cause-effect,"may cause","may be caused by",False,False
330,430,"Alopecia areata",8772,"Nail pitting",2,Cause-effect,"may cause","may be caused by",False,False
53,72,"Esophageal achalasia",8817,"Nausea and vomiting",2,Cause-effect,"may cause","may be caused by",False,False
205,266,Adenovirus,8817,"Nausea and vomiting",2,Cause-effect,"may cause","may be caused by",False,False
269,325,Ethanol,8817,"Nausea and vomiting",2,Cause-effect,"may cause","may be caused by",False,False
379,493,Amantadine,8817,"Nausea and vomiting",2,Cause-effect,"may cause","may be caused by",False,False
336,434,"Alpha-1-antitrypsin deficiency",8881,"Neonatal jaundice",2,Cause-effect,"may cause","may be caused by",False,False
25668,454,"Alport syndrome",8902,Nephrocalcinosis,2,Cause-effect,"may cause","may be caused by",False,False
135,171,"Acute intermittent porphyria",8995,Neutrophilia,2,Cause-effect,"may cause","may be caused by",False,False
162,203,"Acute myeloid leukemia",8995,Neutrophilia,2,Cause-effect,"may cause","may be caused by",False,False
99,114,"Growth hormone secreting pituitary adenoma",9099,Obesity,2,Cause-effect,"may cause","may be caused by",False,False
270,325,Ethanol,9099,Obesity,2,Cause-effect,"may cause","may be caused by",False,False
55365,114,"Growth hormone secreting pituitary adenoma",9135,"Obstructive sleep apnoea",4,"Risk factor","is a risk factor for","has risk factors",False,False
23644,218,"Acute phase reaction",9148,Oedema,2,Cause-effect,"may cause","may be caused by",False,False
10452,325,Ethanol,9150,"Oesophageal cancer",4,"Risk factor","is a risk factor for","has risk factors",False,False
54,72,"Esophageal achalasia",9182,Oesophagitis,2,Cause-effect,"may cause","may be caused by",False,False
33773,398,Alendronate,9182,Oesophagitis,2,Cause-effect,"may cause","may be caused by",False,False
123,158,"Acute disseminated encephalomyelitis",9201,"Oligoclonal bands (CSF)",2,Cause-effect,"may cause","may be caused by",False,False
222,292,Adrenoleucodystrophy,9201,"Oligoclonal bands (CSF)",2,Cause-effect,"may cause","may be caused by",False,False
331,430,"Alopecia areata",9236,Onycholysis,2,Cause-effect,"may cause","may be caused by",False,False
124,158,"Acute disseminated encephalomyelitis",9242,"Optic neuritis",2,Cause-effect,"may cause","may be caused by",False,False
10453,325,Ethanol,9288,"Oropharyngeal cancer",4,"Risk factor","is a risk factor for","has risk factors",False,False
116,145,Actinomycosis,9367,Osteomyelitis,2,Cause-effect,"may cause","may be caused by",False,False
272,325,Ethanol,9385,Osteoporosis,2,Cause-effect,"may cause","may be caused by",False,False
185,243,Adenoiditis,9406,"Suppurative otitis media",2,Cause-effect,"may cause","may be caused by",False,False
24208,325,Ethanol,9539,"Pancreatitis, acute",2,Cause-effect,"may cause","may be caused by",False,False
293,325,Ethanol,9559,"Pancreatitis, chronic",2,Cause-effect,"may cause","may be caused by",False,False
137,171,"Acute intermittent porphyria",9580,Papilloedema,2,Cause-effect,"may cause","may be caused by",False,False
341,442,"Alpha heavy chain disease",9614,Paraproteinaemia,2,Cause-effect,"may cause","may be caused by",False,False
367,475,"Aluminium (dialysis related) toxicity",9720,"Pathological fracture",2,Cause-effect,"may cause","may be caused by",False,False
18719,145,Actinomycosis,9748,"Pelvic inflammatory disease",2,Cause-effect,"may cause","may be caused by",False,False
273,325,Ethanol,9819,"Gastroduodenal ulcers",2,Cause-effect,"may cause","may be caused by",False,False
33774,398,Alendronate,9819,"Gastroduodenal ulcers",2,Cause-effect,"may cause","may be caused by",False,False
179,222,"Autoimmune adrenalitis",9820,Pericarditis,2,Cause-effect,"may cause","may be caused by",False,False
125,158,"Acute disseminated encephalomyelitis",9849,"Peripheral demyelination",2,Cause-effect,"may cause","may be caused by",False,False
138,171,"Acute intermittent porphyria",9849,"Peripheral demyelination",2,Cause-effect,"may cause","may be caused by",False,False
100,114,"Growth hormone secreting pituitary adenoma",9850,"Peripheral neuropathy",2,Cause-effect,"may cause","may be caused by",False,False
126,158,"Acute disseminated encephalomyelitis",9850,"Peripheral neuropathy",2,Cause-effect,"may cause","may be caused by",False,False
10444,222,"Autoimmune adrenalitis",9870,"Pernicious anaemia",6,Association,"is associated with","is associated with",True,False
7197,171,"Acute intermittent porphyria",9933,Phenelzine,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
7204,171,"Acute intermittent porphyria",9947,Phenobarbital,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
17859,325,Ethanol,9947,Phenobarbital,12,Interaction,"interacts with","interacts with",True,False
7230,171,"Acute intermittent porphyria",9970,Phenylbutazone,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
7258,171,"Acute intermittent porphyria",9991,Phenytoin,10,Contraindication,"may contraindicate","may be contraindicated with",False,False
54387,114,"Growth hormone secreting pituitary adenoma",10053,"Pituitary tumour",3,"Cause-effect child-parent (subtype)","is a subtype of","has subtype(s)",False,True
11325,325,Ethanol,10166,Pneumonia,4,"Risk factor","is a risk factor for","has risk factors",False,False
28871,171,"Acute intermittent porphyria",10470,"Postural hypotension",2,Cause-effect,"may cause","may be caused by",False,False
215,279,"Adrenal cortex tumours",10519,"Precocious puberty",2,Cause-effect,"may cause","may be caused by",False,False
34,40,"Placental abruption",10589,"Premature labour and/or delivery",2,Cause-effect,"may cause","may be caused by",False,False
30168,29,Miscarriage,10589,"Premature labour and/or delivery",26,"See also","see also","see also",True,False
